source_name,latitude,longitude
Estação de Tratamento de Esgoto,-20.6143334,-49.6209097
Estação de Tratamento de Esgoto,-20.4371647,-49.3172876
Estação de Tratamento de Esgoto,-20.3236538,-49.1968861
Estação de Tratamento de Esgoto,-20.3147509,-49.9165374
Estação de Tratamento de Esgoto,-20.9420169,-49.0243598
Estação de Tratamento de Esgoto,-20.1909779,-49.6928908
Estação de Tratamento de Esgoto,-20.3687428,-49.3899809
Estação de Tratamento de Esgoto,-20.591514,-49.4854407
Estação de Tratamento de Esgoto,-20.5193603,-49.3063174
Estação de Tratamento de Esgoto,-20.7268142,-49.5672387
WWTP_9064495,-21.7861146,-49.9134797
Estação de Tratamento de Esgoto,-21.9183995,-49.9046244
Estação de Tratamento de Esgoto,-22.0055588,-49.7737085
Estação de Tratamento de Esgoto,-20.9273317,-49.4929307
Estação de Tratamento de Esgoto Bacia 1,-19.9474307,-49.6867874
Estação de Tratamento de Esgoto,-20.016179,-49.3983802
WWTP_10348833,-21.0571412,-49.7094869
WWTP_11187401,-20.1984959,-49.8692608
WWTP_11204093,-21.1692677,-49.7244631
Estação de Tratamento de Esgoto,-20.8918227,-49.5882136
Estação de Tratamento de Esgoto,-21.2457486,-49.6562277
Estação de Tratamento de Esgoto,-21.0339257,-49.4920778
Estação de Tratamento de Esgoto,-21.0334175,-49.3912375
Estação de Tratamento de Esgoto,-20.9205723,-49.7796066
WWTP_11219228,-21.083952,-49.5439431
Estação de Tratamento de Esgoto,-22.9220956,-49.331663
Estação de Tratamento de Esgoto,-20.9062633,-49.2795865
Estação de tratamento de Esgoto de Cosmorama,-20.464891,-49.7698662
Tratamento de Água,-16.0367775,-48.0454292
Estação de Tratamento de Esgoto de Sobradinho,-15.6613376,-47.8114072
WWTP_4236260211,-12.0561392,-45.7383044
WWTP_4236265366,-12.109687,-45.7882698
ETE - Estação de Tratamento de Esgoto por Lagoas Secas,-13.3920594,-44.1856256
CAESB - Estação de Tratamento de Esgoto do Recanto das Emas,-15.9332232,-48.112741
Estação de Tratamento de Esgoto,-16.3637608,-46.8742976
WWTP_274327564,-15.3182657,-49.0955383
WWTP_286187068,-15.7430884,-49.3137175
WWTP_313920229,-16.619651,-49.269982
WWTP_382448955,-15.7812689,-47.773967
WWTP_479517653,-15.8920273,-48.0234241
WWTP_548424632,-14.0262255,-49.1846836
WWTP_589294435,-16.5374252,-44.5354236
Estação de Tratamento de Esgoto de Guanambi,-14.2316892,-42.8011841
Estação de Tratamento de Esgoto COPASA,-15.6236892,-42.5349884
WWTP_747639529,-14.7447993,-43.9338862
WWTP_872721861,-16.7751082,-47.5841501
WWTP_872767094,-15.8427408,-48.9903865
